path,class,label
prepared_liveness_data\raw\spoof\kaggle_37_frame365.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_26_frame215.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_42_frame280.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_4_frame225.jpg,real,1
prepared_liveness_data\raw\real\kaggle_21_frame255.jpg,real,1
prepared_liveness_data\raw\real\kaggle_13_frame60.jpg,real,1
prepared_liveness_data\raw\real\kaggle_61_frame35.jpg,real,1
prepared_liveness_data\raw\real\kaggle_46_frame330.jpg,real,1
prepared_liveness_data\raw\real\kaggle_33_frame120.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_62_frame410.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_77_frame420.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_12_frame370.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_78_frame30.jpg,real,1
prepared_liveness_data\raw\real\kaggle_61_frame335.jpg,real,1
prepared_liveness_data\raw\real\kaggle_69_frame225.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_52_frame35.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_73_frame225.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_5_frame180.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_50_frame220.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_8_frame250.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_70_frame185.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_32_frame75.jpg,real,1
prepared_liveness_data\raw\real\kaggle_31_frame155.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_25_frame325.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_14_frame40.jpg,real,1
prepared_liveness_data\raw\real\kaggle_65_frame195.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_45_frame25.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_72_frame175.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_12_frame430.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_65_frame30.jpg,real,1
prepared_liveness_data\raw\real\kaggle_47_frame90.jpg,real,1
prepared_liveness_data\raw\real\kaggle_67_frame40.jpg,real,1
prepared_liveness_data\raw\real\kaggle_52_frame415.jpg,real,1
prepared_liveness_data\raw\real\kaggle_49_frame30.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_65_frame200.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_39_frame190.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_70_frame95.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_52_frame195.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_33_frame50.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_45_frame80.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_41_frame130.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_70_frame470.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_32_frame40.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_16_frame390.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_68_frame130.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_7_frame225.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_58_frame20.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_53_frame35.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_15_frame310.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_66_frame50.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_50_frame45.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_37_frame25.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_41_frame175.jpg,real,1
prepared_liveness_data\raw\real\kaggle_3_frame120.jpg,real,1
prepared_liveness_data\raw\real\kaggle_54_frame65.jpg,real,1
prepared_liveness_data\raw\real\kaggle_11_frame60.jpg,real,1
prepared_liveness_data\raw\real\kaggle_69_frame185.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_41_frame290.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_71_frame260.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_4_frame10.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_35_frame350.jpg,real,1
prepared_liveness_data\raw\real\kaggle_6_frame175.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_46_frame330.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_16_frame325.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_47_frame315.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_62_frame165.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_9_frame325.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_26_frame135.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_61_frame150.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_79_frame90.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_49_frame220.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_64_frame225.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_70_frame430.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_74_frame225.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_63_frame165.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_69_frame175.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_44_frame110.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_11_frame30.jpg,real,1
prepared_liveness_data\raw\real\kaggle_23_frame110.jpg,real,1
prepared_liveness_data\raw\real\kaggle_51_frame5.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_11_frame530.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_45_frame40.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_65_frame80.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_18_frame165.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_21_frame335.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_76_frame330.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_40_frame30.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_41_frame155.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_76_frame255.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_56_frame105.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_49_frame400.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_61_frame120.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_49_frame0.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_0_frame260.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_72_frame5.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_9_frame135.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_31_frame210.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_28_frame185.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_32_frame30.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_67_frame45.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_49_frame170.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_52_frame355.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_41_frame160.jpg,real,1
prepared_liveness_data\raw\real\kaggle_58_frame415.jpg,real,1
prepared_liveness_data\raw\real\kaggle_28_frame400.jpg,real,1
prepared_liveness_data\raw\real\kaggle_57_frame305.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_11_frame535.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_18_frame140.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_66_frame170.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_47_frame0.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_25_frame60.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_77_frame285.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_79_frame310.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_37_frame190.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_18_frame25.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_58_frame235.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_66_frame80.jpg,real,1
prepared_liveness_data\raw\real\kaggle_28_frame110.jpg,real,1
prepared_liveness_data\raw\real\kaggle_15_frame65.jpg,real,1
prepared_liveness_data\raw\real\kaggle_14_frame55.jpg,real,1
prepared_liveness_data\raw\real\kaggle_16_frame130.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_79_frame330.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_46_frame205.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_74_frame50.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_7_frame35.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_76_frame110.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_53_frame330.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_6_frame15.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_14_frame55.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_77_frame190.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_55_frame120.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_79_frame80.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_4_frame195.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_5_frame115.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_62_frame330.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_61_frame205.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_67_frame125.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_3_frame160.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_57_frame55.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_9_frame350.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_35_frame305.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_28_frame60.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_27_frame170.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_10_frame230.jpg,real,1
prepared_liveness_data\raw\real\kaggle_49_frame340.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_68_frame430.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_71_frame0.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_70_frame100.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_54_frame180.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_10_frame180.jpg,real,1
prepared_liveness_data\raw\real\kaggle_67_frame55.jpg,real,1
prepared_liveness_data\raw\real\kaggle_44_frame210.jpg,real,1
prepared_liveness_data\raw\real\kaggle_28_frame50.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_72_frame230.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_21_frame345.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_47_frame30.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_14_frame5.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_68_frame35.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_49_frame330.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_74_frame295.jpg,real,1
prepared_liveness_data\raw\real\kaggle_66_frame200.jpg,real,1
prepared_liveness_data\raw\real\kaggle_76_frame190.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_55_frame350.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_59_frame315.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_53_frame15.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_43_frame10.jpg,real,1
prepared_liveness_data\raw\real\kaggle_68_frame260.jpg,real,1
prepared_liveness_data\raw\real\kaggle_17_frame0.jpg,real,1
prepared_liveness_data\raw\real\kaggle_66_frame30.jpg,real,1
prepared_liveness_data\raw\real\kaggle_35_frame445.jpg,real,1
prepared_liveness_data\raw\real\kaggle_51_frame0.jpg,real,1
prepared_liveness_data\raw\real\kaggle_27_frame120.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_22_frame85.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_38_frame55.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_55_frame175.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_19_frame45.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_77_frame215.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_60_frame235.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_16_frame50.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_45_frame70.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_64_frame55.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_78_frame150.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_69_frame315.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_33_frame160.jpg,real,1
prepared_liveness_data\raw\real\kaggle_10_frame430.jpg,real,1
prepared_liveness_data\raw\real\kaggle_7_frame265.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_66_frame35.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_15_frame155.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_69_frame285.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_5_frame315.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_75_frame155.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_27_frame165.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_19_frame85.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_3_frame165.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_67_frame120.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_76_frame265.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_19_frame165.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_30_frame640.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_73_frame270.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_38_frame275.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_0_frame290.jpg,real,1
prepared_liveness_data\raw\real\kaggle_13_frame100.jpg,real,1
prepared_liveness_data\raw\real\kaggle_76_frame305.jpg,real,1
prepared_liveness_data\raw\real\kaggle_1_frame85.jpg,real,1
prepared_liveness_data\raw\real\kaggle_10_frame90.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_50_frame35.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_38_frame70.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_49_frame400.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_30_frame440.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_55_frame240.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_45_frame95.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_11_frame230.jpg,spoof,0
